instruction,output
"쇼핑, Well-ness 여행, SNS 인생샷 여행, 시티투어, 야외 스포츠, 레포츠 활동 여행 가는데 1명과 함께할 곳 추천해 주세요.","롯데몰 김포공항점에 가보셨나요? 가보시지 않으셨다면, 롯데몰 김포공항점을 추천드립니다."
"저는 쇼핑, 지역 축제/이벤트 참가을 선호하고,  함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 SETEC입니다.
"이번 교육/체험 프로그램 참가, Well-ness 여행, 신규 여행지 발굴, 친환경 여행(플로깅 여행), 지역 문화예술/공연/전시시설 관람를 위해 자가용으로 여행가는데, 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 국립과천과학관입니다.
"30대 여성이고, 이번에 호캉스 여행로 여행을 떠납니다. 여행지 추천 부탁드려요.","파라다이스 시티 원더 박스에 가보셨나요? 가보시지 않으셨다면, 파라다이스 시티 원더 박스을 추천드립니다."
"20대 입니다. 이번에 SNS 인생샷 여행, 역사 유적지 방문, 시티투어, 쇼핑, Well-ness 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","창룡문에 가보셨나요? 가보시지 않으셨다면, 창룡문을 추천드립니다."
"nan을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 0명 과(와) 함께하는 여행입니다.","운정 호수 공원에 가보셨나요? 가보시지 않으셨다면, 운정 호수 공원을 추천드립니다."
SNS 인생샷 여행 가는데 2과 함께할 곳 추천해 주세요.,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 강변 테크노마트입니다.
"50대 인데, 이번에 SNS 인생샷 여행 갑니다. 숙박 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 CGV 강변입니다.
"저는 20대 이고, 1명과 쇼핑, 인플루언서 따라하기 여행, 시티투어, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프)을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.","메가박스 킨텍스에 가보셨나요? 가보시지 않으셨다면, 메가박스 킨텍스을 추천드립니다."
"서울특별시 20대 여성, 여행지 추천","현대백화점 킨텍스점에 가보셨나요? 가보시지 않으셨다면, 현대백화점 킨텍스점을 추천드립니다."
"20대 입니다. 이번에 쇼핑, 인플루언서 따라하기 여행, 시티투어, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프) 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 트레이더스 홀세일 클럽 킨텍스점입니다.
"1명과 함께 쇼핑, 인플루언서 따라하기 여행, 시티투어, 지역 문화예술/공연/전시시설 관람, 유흥/오락(나이트라이프)할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 킨텍스 제1전시장입니다.
"테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 친환경 여행(플로깅 여행)(으)로 가려고 하는데, 대중교통 등을 이용 서울특별시 50대 여행지 추천","부천 호수 식물원 수피아에 가보셨나요? 가보시지 않으셨다면, 부천 호수 식물원 수피아을 추천드립니다."
"나홀로 여행로 여행 가려는데, 추천해 줘",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 상동호수 공원입니다.
"나홀로 여행으로 할 예정입니다. 대중교통 등으로 이동하려는데, 추천할 만한 여행지가 있을까요?","부천식물원에 가보셨나요? 가보시지 않으셨다면, 부천식물원을 추천드립니다."
"서울특별시에 사는 사람이 테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 친환경 여행(플로깅 여행)로 여행갈만한 곳이 있나요? 0명 정도 될 것 같습니다.","부천중앙공원에 가보셨나요? 가보시지 않으셨다면, 부천중앙공원을 추천드립니다."
"40대 남성이고, 이번에 쇼핑, 교육/체험 프로그램 참가, SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가로 여행을 떠납니다. 여행지 추천 부탁드려요.","코엑스 B 홀에 가보셨나요? 가보시지 않으셨다면, 코엑스 B 홀을 추천드립니다."
"저는 60대 이고, 5명과 SNS 인생샷 여행을 떠납니다. 추천 부탁드려요.","화담숲 매표소에 가보셨나요? 가보시지 않으셨다면, 화담숲 매표소을 추천드립니다."
"2인 여행(가족 외)로 여행 가려는데, 추천해 줘","리움미술관에 가보셨나요? 가보시지 않으셨다면, 리움미술관을 추천드립니다."
"1명과 쇼핑, 쇼핑, 지역 문화예술/공연/전시시설 관람, 인플루언서 따라하기 여행, SNS 인생샷 여행, Well-ness 여행, 쇼핑 여행을 떠나는데 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 헤리티지 플로스입니다.
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 에딧 에디션입니다.
"대전광역시 30대 여성, 여행지 추천","국립중앙박물관에 가보셨나요? 가보시지 않으셨다면, 국립중앙박물관을 추천드립니다."
저는 20대 여성입니다. 3인 이상 여행(가족 외)으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"긱스나 PC에 가보셨나요? 가보시지 않으셨다면, 긱스나 PC을 추천드립니다."
"저는 40대 이고, 1명과 교육/체험 프로그램 참가, 신규 여행지 발굴, 인플루언서 따라하기 여행, 시티투어를 가려고 합니다. 여행지 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 예술의전당입니다.
"경기도에 사는 사람이 테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 말똥 도넛 파주점입니다.
"테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람(으)로 2인 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","오두산 통일전망대에 가보셨나요? 가보시지 않으셨다면, 오두산 통일전망대을 추천드립니다."
2인 여행(가족 외)로 1명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 헤이리 예술마을입니다.
"경기도에 사는 사람이 시티투어, 쇼핑로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.","소마미술관에 가보셨나요? 가보시지 않으셨다면, 소마미술관을 추천드립니다."
"3인 이상 여행(가족 외)으로 SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행, 유흥/오락(나이트라이프), 캠핑 여행을 계획 중인데 추천 해줘.","용문사에 가보셨나요? 가보시지 않으셨다면, 용문사을 추천드립니다."
저는 20대 여성입니다. 나홀로 여행으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"동대문 역사 문화공원 동대문운동장 기념관에 가보셨나요? 가보시지 않으셨다면, 동대문 역사 문화공원 동대문운동장 기념관을 추천드립니다."
"경상북도에 사는 사람이 쇼핑, 교육/체험 프로그램 참가, SNS 인생샷 여행, 지역 축제/이벤트 참가로 여행갈만한 곳이 있나요? 0명 정도 될 것 같습니다.","코엑스에 가보셨나요? 가보시지 않으셨다면, 코엑스을 추천드립니다."
"1명 과 쇼핑, 온천/스파, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 스타필드 고양입니다.
"서울특별시 20대 남성, 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 스몹 고양점입니다.
저는 20대 남성입니다. 2인 여행(가족 외)으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아쿠아 필드 고양입니다.
"2인 여행(가족 외)로 여행 가려는데, 추천해 줘","백운계곡에 가보셨나요? 가보시지 않으셨다면, 백운계곡을 추천드립니다."
"저는 쇼핑, Well-ness 여행을 선호하고, 1명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 파주출판 단지 치유의 숲입니다.
"60대 입니다. 이번에 쇼핑, Well-ness 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","심학산 둘레길에 가보셨나요? 가보시지 않으셨다면, 심학산 둘레길을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람을 좋아하고, 나홀로 여행 예정입니다.","카페다에 가보셨나요? 가보시지 않으셨다면, 카페다을 추천드립니다."
"나홀로 여행로 여행 가려는데, 추천해 줘","렛츠 런 파크 서울에 가보셨나요? 가보시지 않으셨다면, 렛츠 런 파크 서울을 추천드립니다."
"30대 입니다. 이번에 테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","렛츠 런 파크 서울 러키 빌에 가보셨나요? 가보시지 않으셨다면, 렛츠 런 파크 서울 러키 빌을 추천드립니다."
"이번 SNS 인생샷 여행, 신규 여행지 발굴, 등반 여행, 역사 유적지 방문, 시티투어로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","숭례문에 가보셨나요? 가보시지 않으셨다면, 숭례문을 추천드립니다."
"경기도에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아르코예술극장입니다.
저는 40대 여성입니다. 2인 여행(가족 외)으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 낙산공원입니다.
"1명과 함께 SNS 인생샷 여행, 신규 여행지 발굴, 등반 여행, 역사 유적지 방문, 시티투어할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 인사동 문화의 거리입니다.
"이번 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가를 위해 자가용으로 여행가는데, 여행지 추천 해줘.","에버랜드 정문에 가보셨나요? 가보시지 않으셨다면, 에버랜드 정문을 추천드립니다."
"서울특별시 50대 남성, 여행지 추천","에버랜드 허리케인 어트랙션에 가보셨나요? 가보시지 않으셨다면, 에버랜드 허리케인 어트랙션을 추천드립니다."
"3인 이상 여행(가족 외)으로 할 예정입니다. 자가용으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 에버랜드 롤링엑스트레인입니다.
3인 이상 여행(가족 외)로 3명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 에버랜드 아마존 익스프레스입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가을 좋아하고, 3인 이상 여행(가족 외) 예정입니다.","에버랜드 슈팅 워터 펀밤밤 클럽에 가보셨나요? 가보시지 않으셨다면, 에버랜드 슈팅 워터 펀밤밤 클럽을 추천드립니다."
"서울특별시에 사는 사람이 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가로 여행갈만한 곳이 있나요? 3명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 에버랜드 T 익스프레스입니다.
"50대 인데, 이번에 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행 갑니다. 숙박 추천 해줘.","에버랜드 사파리월드에 가보셨나요? 가보시지 않으셨다면, 에버랜드 사파리월드을 추천드립니다."
"50대 남성이고, 이번에 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가로 여행을 떠납니다. 여행지 추천 부탁드려요.","에버랜드 밤밤  서머 나이트에 가보셨나요? 가보시지 않으셨다면, 에버랜드 밤밤  서머 나이트을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가을 좋아하고, 3인 이상 여행(가족 외) 예정입니다.","에버랜드 문라인드 퍼레이드에 가보셨나요? 가보시지 않으셨다면, 에버랜드 문라인드 퍼레이드을 추천드립니다."
"3인 이상 여행(가족 외)으로 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행을 계획 중인데 추천 해줘.","오오 츄에 가보셨나요? 가보시지 않으셨다면, 오오 츄을 추천드립니다."
"50대 남성이고, 이번에 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가로 여행을 떠납니다. 여행지 추천 부탁드려요.","에버랜드 Evertopia에 가보셨나요? 가보시지 않으셨다면, 에버랜드 Evertopia을 추천드립니다."
"테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행 가는데 3과 함께할 곳 추천해 주세요.","캐리비안베이 매표소에 가보셨나요? 가보시지 않으셨다면, 캐리비안베이 매표소을 추천드립니다."
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 3명 과(와) 함께하는 여행입니다.","캐리비안베이 파도 풀에 가보셨나요? 가보시지 않으셨다면, 캐리비안베이 파도 풀을 추천드립니다."
"테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가(으)로 3인 이상 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","캐리비안 베이 어드벤처 풀에 가보셨나요? 가보시지 않으셨다면, 캐리비안 베이 어드벤처 풀을 추천드립니다."
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 3명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 캐리비안베이 와일드 리버풀입니다.
"3명과 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행을 떠나는데 여행지 추천 해줘.","캐리비안베이 네일 스티커 체험 및 구매에 가보셨나요? 가보시지 않으셨다면, 캐리비안베이 네일 스티커 체험 및 구매을 추천드립니다."
"50대 인데, 이번에 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행 갑니다. 숙박 추천 해줘.","캐리비안베이 유수풀에 가보셨나요? 가보시지 않으셨다면, 캐리비안베이 유수풀을 추천드립니다."
"이번 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가로 3명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 캐리비안베이 라꼬 스타입니다.
"3인 이상 여행(가족 외)로 여행 가려는데, 추천해 줘",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 캐리비안베이 파도 풀 클럽 캐비 풀 파티입니다.
저는 50대 남성입니다. 3인 이상 여행(가족 외)으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"에버랜드 샤워실 및 퇴장에 가보셨나요? 가보시지 않으셨다면, 에버랜드 샤워실 및 퇴장을 추천드립니다."
3인 이상 여행(가족 외)로 3명 과 여행지 추천,"캐리비안베이 피크닉에 가보셨나요? 가보시지 않으셨다면, 캐리비안베이 피크닉을 추천드립니다."
"경기도에 살고 있는데, 자녀 동반 여행여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 두물머리입니다.
"저는 30대 이고, 1명과 드라마 촬영지 방문, SNS 인생샷 여행, 인플루언서 따라하기 여행를 가려고 합니다. 여행지 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 고모리 저수지입니다.
"경기도에 사는 사람이 쇼핑, 드라마 촬영지 방문, Well-ness 여행, 호캉스 여행, 지역 축제/이벤트 참가로 여행갈만한 곳이 있나요? 0명 정도 될 것 같습니다.","인천도시 역사관 및 센트럴파크에 가보셨나요? 가보시지 않으셨다면, 인천도시 역사관 및 센트럴파크을 추천드립니다."
나홀로 여행로 0명 과 여행지 추천,"인천시 송도지역축제에 가보셨나요? 가보시지 않으셨다면, 인천시 송도지역축제을 추천드립니다."
"이번 쇼핑, 드라마 촬영지 방문, Well-ness 여행, 호캉스 여행, 지역 축제/이벤트 참가로  함께 여행하려 합니다. 갈 만한 곳이 있을까요?","송도센트럴파크에 가보셨나요? 가보시지 않으셨다면, 송도센트럴파크을 추천드립니다."
"저는 40대 이고, 2명과 시티투어을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 롯데 프리미엄 아울렛 이천점입니다.
"1명과 함께 쇼핑, 시티투어할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","남대문시장 대도 상가에 가보셨나요? 가보시지 않으셨다면, 남대문시장 대도 상가을 추천드립니다."
"충청남도에 살고 있는데, 2인 가족 여행여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 포토 시그니처 명동입니다.
